Nom fournisseur;Designation;Concatenation
3D DOCK SAS;Regularisation intervention 02/06/2021;FRAIS GENERAUX / AUTRE / 
3D DOCK SAS;Regularisation intervention 14/12/2021;FRAIS GENERAUX / AUTRE / 
A&C PROCESS;Inspection refractaires S6/REFRATECHNIK;EXPLOITATION / BRASQUAGE / REFRACTAIRE
A&C PROCESS;Atelier FAC AD - Expertise sur site;EXPLOITATION / BRASQUAGE / REFRACTAIRE
A&C PROCESS;Frais de deplacement et de mission;EXPLOITATION / BRASQUAGE / REFRACTAIRE
A&C PROCESS;Inspection Refratechnik et Gouda;EXPLOITATION / BRASQUAGE / REFRACTAIRE
A&C PROCESS;Inspection Refratechnik&Gouda-Complement;EXPLOITATION / BRASQUAGE / REFRACTAIRE
A&C PROCESS;Audit distance+homologation Mahakoshal;EXPLOITATION / PRESTATION / 
ABC FLEX;GAINE ABC PUR 14 DN 76 1 x 5 metres;MAINTENANCE / PIECES DE RECHANGE / 
ABC FLEX;DV22030007 - Gaines de prechauffage +;MAINTENANCE / PIECES DE RECHANGE / 
ABC FLEX;DV22040027 - Manchettes ventilateur CNG3;MAINTENANCE / PIECES DE RECHANGE / 
ABC FLEX;baches en TVSIL avec velcro en aramide;MAINTENANCE / PIECES DE RECHANGE / 
ABC FLEX;DV22040002 - Manchettes RCF CNG1;MAINTENANCE / PIECES DE RECHANGE / 
ABC FLEX;DV22070013 - Manchette renforcee L10m x;MAINTENANCE / PIECES DE RECHANGE / 
ABC FLEX;baches en fibre de verre pour test;MAINTENANCE / PIECES DE RECHANGE / 
ABIOLAB  ASPOSAN;Prelevement/analyse legionnelle 10 douch;FRAIS GENERAUX / NETTOYAGE ENTRETIENT / 
ABIOLAB  ASPOSAN;Prelevement/analyse legionnelle douche F;FRAIS GENERAUX / NETTOYAGE ENTRETIENT / 
ACIES;ACIES 2021 - Prestations CIR;PRESTATION / ASSISTANCE TECHNIQUE / 
ACTANCE SELARL;Honoraires 2022 - Actance - Estimatif 2;SERVICES SPECIALISES / AVOCATS / 
ACTANCE SELARL;Honoraires 2022 - Actance - Estimatif 2;SERVICES SPECIALISES / AVOCATS / 
ACTIS;Prestations actis Assistance Social 2022;RH / SANTE / 
ACTIS;Frais de deplacement Actis 2022;RH / SANTE / 
ACTIS;Prestations actis Assistance Social 2023;RH / SANTE / 
ACTIS;Estimations Frais deplacement Actis 2023;RH / SANTE / 
ADECCO FRANCE SAS;Regul facture BW8/02168/21-Dec 2021;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/00124/22-Janvier 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/00123/22-Primes 2021;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/00350/22-Fevrier 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/00595/22-Mars 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/00807/22-Avril 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/01058/22-Mai 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/01306/22-Juin 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/01307/22-Juin 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/0538/22-Juillet 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/01643/22-Juillet 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/01815/22-Aout 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/01814/22-Aout 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/01667/22-Aout 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul facture BW8/02116/22-Septembr 2022;RH / INTERIM / ITERIM
ADECCO FRANCE SAS;Regul factures;RH / INTERIM / ITERIM
ADG;Palettisation APM2;FRAIS GENERAUX / ARCHIVES  / 
ADG;Desarchivage EMRA;FRAIS GENERAUX / ARCHIVES  / 
ADG;Demenagement Novelis et Labo 3;FRAIS GENERAUX / MAINTENANCE BATIMENT / 
ADG;Movement Mobilier plusieurs batiments;FRAIS GENERAUX / MAINTENANCE BATIMENT / 
ADVANCE RH;Advance RH Recrutement;RH / RECRUTEMENT / 
ADVANCE RH;Advance RH Acompte eing.;RH / RECRUTEMENT / 
ADVANCE RH;Advance RH Acompte RIMMHD-EM;RH / RECRUTEMENT / 
ADVANCE RH;Advance RH Acompte RTRMCT-EM-0622;RH / RECRUTEMENT / 
ADVANCE RH;Advance RH solde RIMMHD-EM-0722;RH / RECRUTEMENT / 
ADVANCE RH;Advance RH solde RIMTE-EM-0722;RH / RECRUTEMENT / 
AFNOR ADV;Norme : NF EN ISO 128-1;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
AFNOR ADV;Norme : NF EN ISO 128-3;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
AFNOR ADV;Renouvellement abonnement Cobaz;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
AFTRAL;Conseiller Secuirte;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
AFTRAL;Conseiller Securite;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
AGENCES CERF A LUNETTES;Maintenance annuelle 2021/2022;FRAIS GENERAUX / MAINTENANCE BATIMENT / 
AGILENT TECHNOLOGIES FRANCE SAS;2 Nebulizer capillary kit Mark 7 s/c;LABO / MATERIEL / 
AGILENT TECHNOLOGIES FRANCE SAS;3975140 - Lampe HC codee au cuivre - Cu;LABO / MATERIEL / 
AIR LIQUIDE FRANCE INDUSTRIE;Service PROXAL Annee 2022;LABO / PRODUITS CHIMIQUES / GAZ 
AIR LIQUIDE FRANCE INDUSTRIE;Retour location bouteilles;LABO / PRODUITS CHIMIQUES / GAZ 
AIR LIQUIDE FRANCE INDUSTRIE;Contrat maintenance Centrales Gaz - 2022;LABO / PRODUITS CHIMIQUES / GAZ 
AIR PRODUCTS;1% Oxygene /Azote/B50 ref 321055;LABO / PRODUITS CHIMIQUES / GAZ 
AIR PRODUCTS;10% Oxygene /Azote/B50 ref 309216;LABO / PRODUITS CHIMIQUES / GAZ 
AIR PRODUCTS;200 ppm Oxygene/Azote/B50 ref 374740;LABO / PRODUITS CHIMIQUES / GAZ 
AIR PRODUCTS;50 ppm Oxygene/Azote B50 ref 309284;LABO / PRODUITS CHIMIQUES / GAZ 
AIR PRODUCTS;Air zero/B50 ref 27958;LABO / PRODUITS CHIMIQUES / GAZ 
AIR PRODUCTS;Cadre Argon BIP/12 /B50 ref  26520;LABO / PRODUITS CHIMIQUES / GAZ 
AIR PRODUCTS;8% oxygene/argon B5 ref M-GC-T3-004337;LABO / PRODUITS CHIMIQUES / GAZ 
AIR PRODUCTS;0,4% oxygene/argon B5 ref M-GC-T3-004338;LABO / PRODUITS CHIMIQUES / GAZ 
AIR PRODUCTS;Cadre Argon BIP/12 /B50 ref  26520;LABO / PRODUITS CHIMIQUES / GAZ 
AIR PRODUCTS;Remplacement 2 Flexibles 3M Type C;LABO / PRODUITS CHIMIQUES / GAZ 
AIR PRODUCTS;Maintenance centrale type M3000;LABO / PRODUITS CHIMIQUES / GAZ 
ALAIN GASTON MICHEL SAILLARD;MAADEN - Prestation Expert estimation;PRESTATION / ASSISTANCE TECHNIQUE / 
ALDIANCE;29016527 - Distributeur + electrovanne p;MAINTENANCE / PIECES DE RECHANGE / 
ALDIANCE;Ensemble distributeur + pilote pour pell;MAINTENANCE / PIECES DE RECHANGE / 
ALDIANCE;29018786 - Distributeurs pneu Aventics;MAINTENANCE / PIECES DE RECHANGE / 
ALDIANCE;29024048-US-EMLP+REPERES+BORNE PT+F++++;MAINTENANCE / PIECES DE RECHANGE / 
ALERYS;Eval candidat technicien pontonnier;RH / FORMATION / 
ALERYS;Estimation frais de deplacement;RH / FORMATION / 
ALISE;Maintenance SSI 2022 - VISITE 1;FRAIS GENERAUX / MAINTENANCE BATIMENT / 
ALISE;Maintenance SSI 2022 - VISITE 2;FRAIS GENERAUX / MAINTENANCE BATIMENT / 
ALISE;TRAVAUX ZONE MAINTENANCE SSI 2022;FRAIS GENERAUX / MAINTENANCE BATIMENT / 
ALIZENT CANADA INC;Transition support MESAL vers ALIZENT;PRESTATION / ASSISTANCE TECHNIQUE / 
ALPHABET FRANCE FLEET MGMT;VOITURE DE FONCTION B. ALLANO;FRAIS GENERAUX / FLOTTE / 
ALPHABET FRANCE FLEET MGMT;FRAIS DIVERS;FRAIS GENERAUX / FLOTTE / 
ALPIN CONSULTING;Session back-office hebdomadaire MOZAL;PRESTATION / ASSISTANCE TECHNIQUE / 
ALPIN CONSULTING;Session back-office hebdomadaire MOZAL;PRESTATION / ASSISTANCE TECHNIQUE / 
ALTROS;Assist. Chef de projet ALPSYS;PRESTATION / PORTAGE / 
ALTROS;Estimation frais liees a la prestation;PRESTATION / PORTAGE / 
ALTROS;Assist. Delivery ALPSYS N2;PRESTATION / PORTAGE / 
ALTROS;Estimation frais liees a la prestation;PRESTATION / PORTAGE / 
ALTROS;Estimation frais liees a la prestation;PRESTATION / PORTAGE / 
ALTROS;Assist. Delivery ALPSYS N2;PRESTATION / PORTAGE / 
ALTROS;Estimation frais liees a la prestation;PRESTATION / PORTAGE / 
ALTROS;Assistance Technique ALPSYS RTAP;PRESTATION / PORTAGE / 
ALTROS;Estimation frais liees;PRESTATION / PORTAGE / 
ALTROS;Assistance Technique ALPSYS RTAP;PRESTATION / PORTAGE / 
ALTROS;Prestation de service en automatisme;PRESTATION / PORTAGE / 
ALTROS;Estimation frais lies a la prestation;PRESTATION / PORTAGE / 
ALTROS;Prestation Switching site TOMAGO;PRESTATION / PORTAGE / 
ALTROS;Prolongation Prestation site TOMAGO;PRESTATION / PORTAGE / 
ALTROS;Mission Canada, Site EL;PRESTATION / PORTAGE / 
ALTROS;Mission Canada, estimation frais;PRESTATION / PORTAGE / 
ALTROS;Assist. Tech et Commerc. ALPSYS;PRESTATION / PORTAGE / 
ALTROS;Estimation frais liees a la prestation;PRESTATION / PORTAGE / 
ALTROS;Assistance Projets ALPSYS;PRESTATION / PORTAGE / 
ALTROS;Estimation Frais liees a la prestation;PRESTATION / PORTAGE / 
ALTROS;ELY VRP Automatismes ELYSIS;PRESTATION / PORTAGE / 
ALTROS;Prestation de service en automatisme;PRESTATION / PORTAGE / 
ALTROS;Estimation frais lies a la prestation;PRESTATION / PORTAGE / 
ALTROS;Assist. Developpement et Livraison Prods;PRESTATION / PORTAGE / 
ALTROS;Estimation pour eventuelles frais;PRESTATION / PORTAGE / 
ALTROS;Participation FAT armoire electrique;PRESTATION / PORTAGE / 
ALTROS;Assistance Projets ALPSYS;PRESTATION / PORTAGE / 
ALTROS;Estimation pour frais evetuelles;PRESTATION / PORTAGE / 
ALTROS;Assistance Gestion Contrats;PRESTATION / PORTAGE / 
ALTROS;Assistance Technique ALPSYS RTAP;PRESTATION / PORTAGE / 
ALTROS;Estimation pour frais evetuelles;PRESTATION / PORTAGE / 
ALTROS;Assist. technique et commerciale ALPSYS;PRESTATION / PORTAGE / 
ALTROS;Estimation frais liees a la prestation;PRESTATION / PORTAGE / 
AMANEA;Formation-Developper culture feedback;RH / FORMATION / 
AMANEA;Estimation frais de deplacement;RH / FORMATION / 
AMANEA;Formation Process Com - Niveau 1 -Aluval;RH / FORMATION / 
AMANEA;Formation Process Com - Niveau 1 - LRF;RH / FORMATION / 
AMDP SAS;Reparation moteur air NOR.16031X;MAINTENANCE / PRESTATION / 
ANKERSMIT FRANCE SA;module Wifi enregistreur Graphtec;IT / MATERIEL / 
ANKERSMIT FRANCE SA;reparation centrale de mesure Graphtec;IT / MATERIEL / 
APAVE SUDEUROPE SAS;A534261226.1-Mesure fibre amiante sous s;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
APAVE SUDEUROPE SAS;Accompagnement Verification acessoire;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
APAVE SUDEUROPE SAS;Controle annuel electrique;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
APAVE SUDEUROPE SAS;Controle annuel levage/EPI;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
APAVE SUDEUROPE SAS;Controle annuel ligne de vie;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
APAVE SUDEUROPE SAS;Controle ventilation locaux site;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
APAVE SUDEUROPE SAS;Controle AALT;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
APAVE SUDEUROPE SAS;Controle structure plateforme labo 3;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
APAVE SUDEUROPE SAS;Diag amiante avt travaux tuyauterie Aluv;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
APAVE SUDEUROPE SAS;Prelevement et analyse qte 25;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
API RESTAURATION;Restauration Droit admission 2022;RH / CANTINE & BOISSON / 
API RESTAURATION;Restauration Badge invites 2022;RH / CANTINE & BOISSON / 
API RESTAURATION;Restauration Pauses 2022;RH / CANTINE & BOISSON / 
API RESTAURATION;Restaurant Badge invites 2022-Complement;RH / CANTINE & BOISSON / 
ARCHIMADE ARCHITECTES;AMO � Assistance Etude Travaux;PRESTATION / AMO / 
ARIAS NOTAIRES;Honnaires Notaires : Apostille;SERVICES SPECIALISES / NOTAIRES / 
ARP FRANCE SAS;Cables reseau Alpsys N1;IT / FOURNITURES / 
ARTELIA;LID00151 - RIO TINTO-Reseau surpresseur;PRESTATION / ETUDES / 
ARTELIA;Prestation MAJ documents GC/50 ch UGB;PRESTATION / ETUDES / 
ARTELIA;Et. structures & charpentes Bt HH /Ph 1;PRESTATION / ETUDES / 
ARTELIA;Prestation d�ingenierie genie civil;PRESTATION / ETUDES / 
ARTELIA;Mission Genie civil a UGB;PRESTATION / ETUDES / 
ARTELIA BATIMENT AND INDUSTRIE;Reduction des dalles amovibles de tete;PRESTATION / ETUDES / 
ARTELIA BATIMENT AND INDUSTRIE;Verification des dalles CNG1, CNG3;PRESTATION / ETUDES / 
ARTELIA BATIMENT AND INDUSTRIE;Verification dalles avec le H3;PRESTATION / ETUDES / 
ARTELIA BATIMENT AND INDUSTRIE;Verification dalles/poutres CNG1/CNG3;PRESTATION / ETUDES / 
ARTELIA INDUSTRIE;LID00151 - RIO TINTO-Reseau surpresseur;PRESTATION / ETUDES / 
ASSOCIATION DES ENTREPRISES DE CENT;Adhesion 2022 Association CentrAlp;RH / AUTRE / 
ASSOCIATION DU RESTAURANT;Gestion RIE Cot trim FRGM 21/22;RH / CANTINE & BOISSON / 
ASSOCIATION FRANCAISE DE;Appel de Cotisation AFA 2022;INSTITUTIONNEL / COTISATION / 
ASSOCIATION FRANCAISE DE;COMPLEMENT SUITE ERREUR CALCUL;INSTITUTIONNEL / COTISATION / 
ASSOCIATION HORIZON SANTE TRAVAIL;Horizon Sante RTAP 2022;RH / SANTE / 
ASTEK;Modelisation capteur temperature;PRESTATION / ETUDES / 
ASTR IN SARL;Transport anodes Aluchemie/St Jean Decem;LOGISTIQUE / TRANSPORT / PRODUCTION
ASTR IN SARL;Transport anodes Aluchemie/St Jean Decem;LOGISTIQUE / TRANSPORT / PRODUCTION
ATLAS COPCO COMPRESSEURS;2896009 - Cable sonde temperature Secheu;MAINTENANCE / PIECES DE RECHANGE / 
ATLAS COPCO COMPRESSEURS;2022-Entr.Compresseurs-Abonnement 24/24;MAINTENANCE / PRESTATION / 
ATLAS COPCO COMPRESSEURS;2022 -GA132VSDA2-P-A-50-8.5 (24/24);MAINTENANCE / PIECES DE RECHANGE / 
ATLAS COPCO COMPRESSEURS;2022-BD970-10-50-MIN40 (24/24);MAINTENANCE / PIECES DE RECHANGE / 
ATLAS COPCO COMPRESSEURS;2022 -OSC 1200;MAINTENANCE / PIECES DE RECHANGE / 
ATLAS COPCO COMPRESSEURS;2022GA110A2-APF (24/24);MAINTENANCE / PIECES DE RECHANGE / 
ATLAS COPCO COMPRESSEURS;Location compresseurs /23013904;MAINTENANCE / MATERIEL / 
ATLAS COPCO COMPRESSEURS;Location compresseurs /23013902;MAINTENANCE / MATERIEL / 
ATLAS COPCO COMPRESSEURS;06590680-0 - Location secheur dair CD;MAINTENANCE / MATERIEL / 
ATLAS COPCO COMPRESSEURS;06590680-0 - Ecart Location secheur;MAINTENANCE / MATERIEL / 
ATYX;Prestat mission 3 Evaluation Performance;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Forfait prestation (> 30 jours);PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Frais de deplacement et Indemnite de vie;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;ET-Etude conception implantation cuve;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Mission brasquage EL2;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Mission brasquage EL2;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Frais de mission;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Mission brasquage EL2;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;ET-Etude conception implantation cuve;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Frais de mission;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Support mise en oeuvre bonnes pratiques;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Frais deplacement et indemnite de vie;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Forfait prestation;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Mission brasquage LBM EL2;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Support implantation reseau FCN ALBA;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Frais deplacement et indeminite de vie;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Forfait prestation;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Mission brasquage Canada-Prolongation;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Prestat mission 3 Evaluation Performance;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Forfait prestation (> 30 jours);PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Frais de deplacement et Indemnite de vie;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Mission brasquage EL2;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;Frais de mission;PRESTATION / ASSISTANCE TECHNIQUE / 
ATYX;ET-Etude conception implantation cuve;PRESTATION / ASSISTANCE TECHNIQUE / 
AURATEC;Verif. reglementaire Instal. Electr 2022;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
AURATEC;Controle conformite Instal. Electr 2022;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
AURATEC;Controle Instal. Elec.Thermographie Infr;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
AUTOMATIQUE INDUSTRIE;Assist. controle commande/electricite;PRESTATION / ASSISTANCE TECHNIQUE / Assistance technique
AUTOMATIQUE INDUSTRIE;Estimation frais liees a la prestation;PRESTATION / ASSISTANCE TECHNIQUE / Assistance technique
AUTOMATIQUE INDUSTRIE;assistance technique Gestion Projets;PRESTATION / ASSISTANCE TECHNIQUE / Assistance technique
AUTOMATIQUE INDUSTRIE;Estimation frais liees a la prestation;PRESTATION / ASSISTANCE TECHNIQUE / Assistance technique
AUTOMATIQUE INDUSTRIE;Mise en forme KPI et rapports;PRESTATION / ASSISTANCE TECHNIQUE / Assistance technique
AUTOMATIQUE INDUSTRIE;Assistance Technique Gestion Projets;PRESTATION / ASSISTANCE TECHNIQUE / Assistance technique
AUTOMATIQUE INDUSTRIE;Estimation frais eventuelles;PRESTATION / ASSISTANCE TECHNIQUE / Assistance technique
AUTOMATIQUE INDUSTRIE;Assistance Gestion Projets ALPSYS;PRESTATION / ASSISTANCE TECHNIQUE / Assistance technique
AUTOMATIQUE INDUSTRIE;Estimation pour eventuelles frais;PRESTATION / ASSISTANCE TECHNIQUE / Assistance technique
AUTOMATIQUE INDUSTRIE;Etudes + Diagnostic Controle ALPSYS - 4;PRESTATION / ASSISTANCE TECHNIQUE / Assistance technique
AUTOMATIQUE INDUSTRIE;Estimation pour frais evetuelles;PRESTATION / ASSISTANCE TECHNIQUE / Assistance technique
AUTOMATIQUE INDUSTRIE;Assistance Gestion Projets ALPSYS;PRESTATION / ASSISTANCE TECHNIQUE / Assistance technique
AUTOMATIQUE INDUSTRIE;Estimation pour eventuelles frais;PRESTATION / ASSISTANCE TECHNIQUE / Assistance technique
BBA EMBALLAGES;SAC PE 100 X 150MM RENFORCE (4000);LOGISTIQUE / EMBALLAGE / 
BBA EMBALLAGES;SAC PE 100 X 200MM RENFORCE (4000);LOGISTIQUE / EMBALLAGE / 
BBA EMBALLAGES;SAC PE 220 X 300MM RENFORCE (500);LOGISTIQUE / EMBALLAGE / 
BBA EMBALLAGES;SAC PE 300 X 480MM RENFORCE (500);LOGISTIQUE / EMBALLAGE / 
BCSV;Manchettes neoprene + carte eletronique;MAINTENANCE / PIECES DE RECHANGE / 
BCSV;SB 3470 - Controle + etalonnage debitmet;MAINTENANCE / OUTILLAGE / 
BECHTLE DIRECT FRANCE SAS;Art 4510335 cable 0,25 m jaune;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4510372 cable 0,5 m jaune;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4510378 cable 1 m jaune;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4510467 cable 5 m jaune;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4510473 cable 10 m jaune;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4510525 cable 20 m jaune;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4511338 cable 10 m violet;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4511333 cable 5 m violet;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4511331 cable 3 m violet;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4511328 cable 2 m violet;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4511323 cable 1 m violet;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4511453 cable 10 m vert;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4511434 cable 5 m vert;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4511422 cable 3 m vert;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4511419 cable 2 m vert;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4511333 cable violet 5m;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4511331 cable violet 3m;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;Art 4511328 cable violet 2m;IT / FOURNITURES / 
BECHTLE DIRECT FRANCE SAS;BECHTLE Materiel bornes WIFI Alpsys;IT / MATERIEL / 
BECHTLE DIRECT FRANCE SAS;NAS deuxieme salle serveur;IT / MATERIEL / 
BECKMAN COULTER FRANCE;Maintenance LS13320 SGL 2022;MAINTENANCE / PRESTATION / 
BELLET INDUSTRIE;Fournit.2 tubes inox 19/21 L2m + L2,5;MAINTENANCE / PIECES DE RECHANGE / 
Beylouni Carbasse Gueny Valot Verne;Honoraires Avocat pour P. Aroule;SERVICES SPECIALISES / AVOCATS / 
BIO LOGIC SAS;adapter for banana 2 mm 092-1001/27;LABO / FOURNITURES / 
BIO LOGIC SAS;cable booster 5m 092-33/23;LABO / FOURNITURES / 
BLANCHISSERIE DES PLANS;Blanchisserie des Plans - Commande 2022;MAINTENANCE / EPI / BLANCHISSERIE
BLUES BRODEURS;POLOS BIO PREMIUM 220g/m2;RH / AUTRE / 
BLUES BRODEURS;DV20222263-Application tissu /12 vestes;RH / AUTRE / 
BORDAS CORDONNIER;Cles;FRAIS GENERAUX / MAINTENANCE BATIMENT / 
BORDAS CORDONNIER;Cles;FRAIS GENERAUX / MAINTENANCE BATIMENT / 
BOREAL EUROPE BV;BOR022105 - DuctSensor V1 PD40/316S/PT/S;LABO / MATERIEL / 
BOREAL EUROPE BV;BOR022520 - RetroFlange V1 with Surface;LABO / MATERIEL / 
BOREAL EUROPE BV;BLE068100 - Cable Set FC/MC 100M FC/APC;LABO / MATERIEL / 
BOREAL EUROPE BV;BOR99200 - Traveling time Service Engine;LABO / MATERIEL / 
BOREAL EUROPE BV;BOR99500 - Service van VW Transporter;LABO / MATERIEL / 
BOREAL EUROPE BV;BOR99120 - Service 8 hours excl. expense;LABO / MATERIEL / 
BOREAL EUROPE BV;BOR99500 - Service van VW Transporter;LABO / MATERIEL / 
BOREAL EUROPE BV;BOR99200 - Traveling time Service Engine;LABO / MATERIEL / 
BOREAL EUROPE BV;BOR91100 Rental GasFinderMC for HF 4CH S;LABO / MATERIEL / 
BOREAL EUROPE BV;FEDEX - Transport with Fedex Express;LABO / MATERIEL / 
BOREAL EUROPE BV;BOR99800 - Standard Checkup and Maintena;LABO / MAINTENANCE EQUIPEMENT / 
BOREAL EUROPE BV;BOR99814 - Calibration HF (Client Range;LABO / MAINTENANCE EQUIPEMENT / 
BOREAL EUROPE BV;BOR99200+500+120+120+500+200 /Complement;LABO / MAINTENANCE EQUIPEMENT / 
BOYNE SMELTERS LTD;BSL CBF3 Rebuild - New moulds;EXPLOITATION / COULE DE METAL / 
BRAIS MALOUIN ET ASSOCIES INC;etude prefaisabilite conversion bruleurs;PRESTATION / ETUDES / 
BRAMMER FRANCE;6801211 - Courroie Berger H3 + filtres P;MAINTENANCE / PIECES DE RECHANGE / 
BRUKER FRANCE SAS;Pompe a palettes PA0301;LABO / MATERIEL / 
BRUKER FRANCE SAS;Turbine;LABO / MATERIEL / 
BRUKER FRANCE SAS;O-RING 7,65 X 1,78 MM;LABO / MAINTENANCE EQUIPEMENT / 
BRUKER FRANCE SAS;HV-insulating disc (Set of 2);LABO / MAINTENANCE EQUIPEMENT / 
BRUKER FRANCE SAS;Maintenance XRFS8 TIGER - 2022;LABO / MAINTENANCE EQUIPEMENT / MAINTENANCE 
BRUKER FRANCE SAS;Maintenance XRF /D4 TIGER - 2022;LABO / MAINTENANCE EQUIPEMENT / MAINTENANCE 
BRUKER FRANCE SAS;Intervention 70126824 /D4 TIGER - 020922;LABO / MAINTENANCE EQUIPEMENT / MAINTENANCE 
BRUKER FRANCE SAS;Intervention diffractometre D4;LABO / MAINTENANCE EQUIPEMENT / MAINTENANCE 
BUREAU DE LA PCR;Prestations Radioprotection 2022 /PCR;RH / SANTE / 
BUREAU VERITAS CERTIFICATION;Veillle reglementaire 2022;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
BUREAU VERITAS CERTIFICATION;Diag amiante avant travaux salle serveur;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
BUREAU VERITAS CERTIFICATION;Diag amiante avant travaux d'enrobes;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
BUREAU VERITAS CERTIFICATION;Intervention sept2022-RenouvelllementISO;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
BUREAU VERITAS CERTIFICATION;Recertification - ISO 14001;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
BUREAU VERITAS CERTIFICATION;Surveillance 1 - ISO 14001;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
BUREAU VERITAS EXPLOITATION SAS;Q-94422-0797356-Remise en service palan;FRAIS GENERAUX / INSPECTIONS & CERTIFICATION / 
